Map Projection,Map Projection,Map,Map Projection Zone,Information,Remarks,Revision,Coordinate,Projection,Projection,Proj. Param,Proj. Param,Prime,Longitude,Latitude,Scale, False, False,Latitude of,Latitude of,Latitude of False Origin,Longitude of False Origin,Easting at,Northing at,Latitude of,Longitude of,Easting at,Northing at,Azimuth of Initial Line,Scale Factor,,Proj Zone,Zone,Old Map
Michigan CS83 North zone,Michigan North,12141,United States - Michigan - counties north of 45d 45m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,87deg  0min  0.000sec W,,,,,47deg  5min  0.000sec N,45deg 29min  0.000sec N,44deg 47min  0.000sec N,87deg  0min  0.000sec W,8000000,0,,,,,,,,24,14,P0248
Michigan CS83 Central zone,Michigan Central,12142,United States - Michigan - counties between 45d 45m & 43d 55m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,84deg 22min  0.000sec W,,,,,45deg 42min  0.000sec N,44deg 11min  0.000sec N,43deg 19min  0.000sec N,84deg 22min  0.000sec W,6000000,0,,,,,,,,abbr req (26),16,P0249
Michigan CS83 South zone,Michigan South,12143,United States - Michigan - counties south of 43d 55m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,84deg 22min  0.000sec W,,,,,43deg 40min  0.000sec N,42deg  6min  0.000sec N,41deg 30min  0.000sec N,84deg 22min  0.000sec W,4000000,0,,,,,,,,24,14,P0250
Minnesota CS27 North zone,Minnesota North,12201,United States - Minnesota - counties north of 47d 10m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,93deg  6min  0.000sec W,,,,,47deg  2min  0.000sec N,48deg 38min  0.000sec N,46deg 30min  0.000sec N,93deg  6min  0.000sec W,2000000,0,,,,,,,,abbr req (25),15,P0251
Minnesota CS27 Central zone,Minnesota Central,12202,United States - Minnesota - counties between 47d 10m & 45d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,94deg 15min  0.000sec W,,,,,45deg 37min  0.000sec N,47deg  3min  0.000sec N,45deg  0min  0.000sec N,94deg 15min  0.000sec W,2000000,0,,,,,,,,abbr req (27),17,P0252
Minnesota CS27 South zone,Minnesota South,12203,United States - Minnesota - counties south of 45d 30m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,94deg  0min  0.000sec W,,,,,43deg 47min  0.000sec N,45deg 13min  0.000sec N,43deg  0min  0.000sec N,94deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (25),15,P0253
Minnesota CS83 North zone,Minnesota North,12231,United States - Minnesota - counties north of 47d 10m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,93deg  6min  0.000sec W,,,,,48deg 38min  0.000sec N,47deg  2min  0.000sec N,46deg 30min  0.000sec N,93deg  6min  0.000sec W,800000,100000,,,,,,,,abbr req (25),15,P0254
Minnesota CS83 Central zone,Minnesota Central,12232,United States - Minnesota - counties between 47d 10m & 45d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,94deg 15min  0.000sec W,,,,,47deg  3min  0.000sec N,45deg 37min  0.000sec N,45deg  0min  0.000sec N,94deg 15min  0.000sec W,800000,100000,,,,,,,,abbr req (27),17,P0255
Minnesota CS83 South zone,Minnesota South,12233,United States - Minnesota - counties south of 45d 30m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,94deg  0min  0.000sec W,,,,,45deg 13min  0.000sec N,43deg 47min  0.000sec N,43deg  0min  0.000sec N,94deg  0min  0.000sec W,800000,100000,,,,,,,,abbr req (25),15,P0256
Mississippi CS27 East zone,Mississippi East,12301,United States - Mississippi - counties east of 89d 40m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,88deg 50min  0.000sec W,29deg 40min  0.000sec N,0.9999600,500000,0,,,,,,,,,,,,,,abbr req (26),16,P0257
Mississippi CS27 West zone,Mississippi West,12302,United States - Mississippi - counties west of 89d 40m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,90deg 20min  0.000sec W,30deg 30min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,abbr req (26),16,P0258
Mississippi CS83 East zone,Mississippi East,12331,United States - Mississippi - counties east of 89d 40m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,88deg 50min  0.000sec W,29deg 30min  0.000sec N,0.9999500,300000,0,,,,,,,,,,,,,,abbr req (26),16,P0259
Mississippi CS83 West zone,Mississippi West,12332,United States - Mississippi - counties west of 89d 40m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,90deg 20min  0.000sec W,29deg 30min  0.000sec N,0.9999500,700000,0,,,,,,,,,,,,,,abbr req (26),16,P0260
Missouri CS27 East zone ,Missouri East ,12401,United States - Missouri - counties east of 91d 45m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,90deg 30min  0.000sec W,35deg 50min  0.000sec N,0.9999333,500000,0,,,,,,,,,,,,,,24,14,P0261
Missouri CS27 Central zone,Missouri Central,12402,United States - Missouri - counties between 91d 45m & 93d 35m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,92deg 30min  0.000sec W,35deg 50min  0.000sec N,0.9999333,500000,0,,,,,,,,,,,,,,abbr req (26),16,P0262
Missouri CS27 West zone ,Missouri West ,12403,United States - Missouri - counties west of 93d 35m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,94deg 30min  0.000sec W,36deg 10min  0.000sec N,0.9999412,500000,0,,,,,,,,,,,,,,24,14,P0263
Missouri CS83 East zone,Missouri  East,12431,United States - Missouri - counties east of 91d 45m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,90deg 30min  0.000sec W,35deg 50min  0.000sec N,0.9999333,250000,0,,,,,,,,,,,,,,23,14,P0264
Missouri CS83 Central zone,Missouri Central,12432,United States - Missouri - counties between 91d 45m & 93d 35m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,92deg 30min  0.000sec W,35deg 50min  0.000sec N,0.9999333,500000,0,,,,,,,,,,,,,,abbr req (26),16,P0265
Missouri CS83 West zone,Missouri  West,12433,United States - Missouri - counties west of 93d 35m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,94deg 30min  0.000sec W,36deg 10min  0.000sec N,0.9999412,850000,0,,,,,,,,,,,,,,23,14,P0266
Montana CS27 North zone,Montana North,12501,United States - Montana - counties north of 47d 50m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,109deg 30min  0.000sec W,,,,,48deg 43min  0.000sec N,47deg 51min  0.000sec N,47deg  0min  0.000sec N,109deg 30min  0.000sec W,2000000,0,,,,,,,,23,13,P0267
Montana CS27 Central zone,Montana Central,12502,United States - Montana - counties between 47d 50m & 46d 40m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,109deg 30min  0.000sec W,,,,,47deg 53min  0.000sec N,46deg 27min  0.000sec N,45deg 50min  0.000sec N,109deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (25),15,P0268
Montana CS27 South zone,Montana South,12503,United States - Montana - counties south of 46d 40m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,109deg 30min  0.000sec W,,,,,46deg 24min  0.000sec N,44deg 52min  0.000sec N,44deg  0min  0.000sec N,109deg 30min  0.000sec W,2000000,0,,,,,,,,23,13,P0269
Montana CS83,Montana ,12530,United States - Montana ,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,109deg 30min  0.000sec W,,,,,49deg  0min  0.000sec N,45deg  0min  0.000sec N,44deg 15min  0.000sec N,109deg 30min  0.000sec W,600000,0,,,,,,,,12,8,P0270
Nebraska CS27 North zone,Nebraska North,12601,United States - Nebraska,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,100deg  0min  0.000sec W,,,,,41deg 51min  0.000sec N,42deg 49min  0.000sec N,41deg 20min  0.000sec N,100deg  0min  0.000sec W,2000000,0,,,,,,,,24,14,P0271
Nebraska CS27 South zone,Nebraska South,12602,United States - Nebraska,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,99deg 30min  0.000sec W,,,,,40deg 17min  0.000sec N,41deg 43min  0.000sec N,39deg 40min  0.000sec N,99deg 30min  0.000sec W,2000000,0,,,,,,,,24,14,P0272
Nebraska CS83,Nebraska ,12630,United States - Nebraska,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,100deg  0min  0.000sec W,,,,,43deg  0min  0.000sec N,40deg  0min  0.000sec N,39deg 50min  0.000sec N,100deg  0min  0.000sec W,500000,0,,,,,,,,13,9,P0273
Nevada CS27 East zone ,Nevada East ,12701,United States - Nevada - counties east of 116d  West & Eureka county.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,115deg 35min  0.000sec W,34deg 45min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,22,12,P0274
Nevada CS27 Central zone ,Nevada Central,12702,United States - Nevada - Lander & Nye counties,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,116deg 40min  0.000sec W,34deg 45min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,abbr req (25),14,P0275
Nevada CS27 West zone ,Nevada West ,12703,United States - Nevada - counties west of 117d 15m West,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,118deg 35min  0.000sec W,34deg 45min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,22,12,P0276
Nevada CS83 East zone,Nevada  East,12731,United States - Nevada - counties east of 116d  West & Eureka county.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,115deg 35min  0.000sec W,34deg 45min  0.000sec N,0.9999000,200000,8000000,,,,,,,,,,,,,,21,12,P0277
Nevada CS83 Central zone,Nevada Central,12732,United States - Nevada - Lander & Nye counties,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,116deg 40min  0.000sec W,34deg 45min  0.000sec N,0.9999000,500000,6000000,,,,,,,,,,,,,,24,14,P0278
Nevada CS83 West zone,Nevada West,12733,United States - Nevada - counties west of 117d 15m West,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,118deg 35min  0.000sec W,34deg 45min  0.000sec N,0.9999000,800000,4000000,,,,,,,,,,,,,,21,11,P0279
New Hampshire CS27 ,New Hampshire ,12800,United States - New Hampshire,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,71deg 40min  0.000sec W,42deg 30min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,19,14,P0280
New Hampshire CS83,New Hampshire ,12830,United States - New Hampshire,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,71deg 40min  0.000sec W,42deg 30min  0.000sec N,0.9999667,300000,0,,,,,,,,,,,,,,18,14,P0281
New Jersey CS27,New Jersey ,12900,United States - New Jersey,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,74deg 40min  0.000sec W,38deg 50min  0.000sec N,0.9999750,2000000,0,,,,,,,,,,,,,,15,11,P0282
New Jersey CS83,New Jersey ,12930,United States - New Jersey,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,74deg 30min  0.000sec W,38deg 50min  0.000sec N,0.9999000,150000,0,,,,,,,,,,,,,,15,11,P0283
New Mexico CS27 East zone ,New Mexico East ,13001,United States - New Mexico - counties east of 105d West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,104deg 20min  0.000sec W,31deg  0min  0.000sec N,0.9999091,500000,0,,,,,,,,,,,,,,abbr req (26),16,P0284
New Mexico CS27 Central zone,New Mexico Central,13002,United States - New Mexico - counties between 105d & 107d 15m West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,106deg 15min  0.000sec W,31deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,abbr req (28),18,P0285
New Mexico CS27 West zone ,New Mexico West ,13003,United States - New Mexico - counties west of 107d 15m West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,107deg 50min  0.000sec W,31deg  0min  0.000sec N,0.9999167,500000,0,,,,,,,,,,,,,,abbr req (26),16,P0286
New Mexico CS83 East zone,New Mexico East,13031,United States - New Mexico - counties east of 105d West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,104deg 20min  0.000sec W,31deg  0min  0.000sec N,0.9999091,165000,0,,,,,,,,,,,,,,abbr req (25),15,P0287
New Mexico CS83 Central zone,New Mexico Central,13032,United States - New Mexico - counties between 105d & 107d 15m West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,106deg 15min  0.000sec W,31deg  0min  0.000sec N,0.9999000,500000,0,,,,,,,,,,,,,,abbr req (28),18,P0288
New Mexico CS83 West zone,New Mexico West,13033,United States - New Mexico - counties west of 107d 15m West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,107deg 50min  0.000sec W,31deg  0min  0.000sec N,0.9999167,830000,0,,,,,,,,,,,,,,abbr req (25),15,P0289
New York CS27 East zone ,New York East ,13101,United States - New York - counties east of 75d 15m West excluding Long Island.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,74deg 20min  0.000sec W,40deg  0min  0.000sec N,0.9999667,500000,0,,,,,,,,,,,,,,24,14,P0290
New York CS27 Central zone,New York Central,13102,United States - New York - counties between 75d 15m & 77d 30m West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,76deg 35min  0.000sec W,40deg  0min  0.000sec N,0.9999375,500000,0,,,,,,,,,,,,,,abbr req (26),16,P0291
New York CS27 West zone ,New York West ,13103,United States - New York - counties west of 77d 30m West.,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,78deg 35min  0.000sec W,40deg  0min  0.000sec N,0.9999375,500000,0,,,,,,,,,,,,,,24,14,P0292
New York CS27 Long Island zone,New York Long Island,13104,United States - New York - Long Island,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,74deg  0min  0.000sec W,,,,,41deg  2min  0.000sec N,40deg 40min  0.000sec N,40deg 30min  0.000sec N,74deg  0min  0.000sec W,1000000,0,,,,,,,,abbr req (30),20,P0293
New York CS83 East zone,New York  East,13131,United States - New York - counties east of 75d 15m West excluding Long Island.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,74deg 30min  0.000sec W,38deg 50min  0.000sec N,0.9999000,150000,0,,,,,,,,,,,,,,23,14,P0294
New York CS83 Central zone,New York Central,13132,United States - New York - counties between 75d 15m & 77d 30m West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,76deg 35min  0.000sec W,40deg  0min  0.000sec N,0.9999375,250000,0,,,,,,,,,,,,,,abbr req (26),16,P0295
New York CS83 West zone,New York  West,13133,United States - New York - counties west of 77d 30m West.,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,78deg 35min  0.000sec W,40deg  0min  0.000sec N,0.9999375,350000,0,,,,,,,,,,,,,,23,14,P0296
New York CS83 Long Island zone,New York Long Island,13134,United States - New York - Long Island,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,74deg  0min  0.000sec W,,,,,41deg  2min  0.000sec N,40deg 40min  0.000sec N,40deg 10min  0.000sec N,74deg  0min  0.000sec W,300000,0,,,,,,,,abbr req (30),20,P0297
North Carolina CS27,North Carolina ,13200,United States - North Carolina,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,79deg  0min  0.000sec W,,,,,34deg 20min  0.000sec N,36deg 10min  0.000sec N,33deg 45min  0.000sec N,79deg  0min  0.000sec W,2000000,0,,,,,,,,19,15,P0298
North Carolina CS83,North Carolina ,13230,United States - North Carolina,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,79deg  0min  0.000sec W,,,,,36deg 10min  0.000sec N,34deg 20min  0.000sec N,33deg 45min  0.000sec N,79deg  0min  0.000sec W,609601.22,0,,,,,,,,19,15,P0299
North Dakota CS27 North zone,North Dakota North,13301,United States - North Dakota - counties north of 47d 25m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,100deg 30min  0.000sec W,,,,,47deg 26min  0.000sec N,48deg 44min  0.000sec N,47deg  0min  0.000sec N,100deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (28),18,P0300
North Dakota CS27 South zone,North Dakota South,13302,United States - North Dakota - counties south of 47d 25m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,100deg 30min  0.000sec W,,,,,46deg 11min  0.000sec N,47deg 29min  0.000sec N,45deg 40min  0.000sec N,100deg 30min  0.000sec W,2000000,0,,,,,,,,abbr req (28),18,P0301
North Dakota CS83 North zone,North Dakota North,13331,United States - North Dakota - counties north of 47d 25m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,100deg 30min  0.000sec W,,,,,48deg 44min  0.000sec N,47deg 26min  0.000sec N,47deg  0min  0.000sec N,100deg 30min  0.000sec W,600000,0,,,,,,,,abbr req (28),18,P0302
North Dakota CS83 South zone,North Dakota South,13332,United States - North Dakota - counties south of 47d 25m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,100deg 30min  0.000sec W,,,,,47deg 29min  0.000sec N,46deg 11min  0.000sec N,45deg 40min  0.000sec N,100deg 30min  0.000sec W,600000,0,,,,,,,,abbr req (28),18,P0303
Ohio CS27 North zone,Ohio North,13401,United States - Ohio - counties north of 40d 15m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,82deg 30min  0.000sec W,,,,,40deg 26min  0.000sec N,41deg 42min  0.000sec N,39deg 40min  0.000sec N,82deg 30min  0.000sec W,2000000,0,,,,,,,,20,10,P0304
Ohio CS27 South zone,Ohio South,13402,United States - Ohio - counties south of 40d 15m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,82deg 30min  0.000sec W,,,,,38deg 44min  0.000sec N,40deg  2min  0.000sec N,38deg  0min  0.000sec N,82deg 30min  0.000sec W,2000000,0,,,,,,,,20,10,P0305
Ohio CS83 North zone,Ohio North,13431,United States - Ohio - counties north of 40d 15m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,82deg 30min  0.000sec W,,,,,41deg 42min  0.000sec N,40deg 26min  0.000sec N,39deg 40min  0.000sec N,82deg 30min  0.000sec W,600000,0,,,,,,,,20,10,P0306
Ohio CS83 South zone,Ohio South,13432,United States - Ohio - counties south of 40d 15m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,82deg 30min  0.000sec W,,,,,40deg  2min  0.000sec N,38deg 44min  0.000sec N,38deg  0min  0.000sec N,82deg 30min  0.000sec W,600000,0,,,,,,,,20,10,P0307
Oklahoma CS27 North zone,Oklahoma North,13501,United States - Oklahoma - counties north of 35d 20m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,98deg  0min  0.000sec W,,,,,35deg 34min  0.000sec N,36deg 46min  0.000sec N,35deg  0min  0.000sec N,98deg  0min  0.000sec W,2000000,0,,,,,,,,24,14,P0308
Oklahoma CS27 South zone,Oklahoma South,13502,United States - Oklahoma - counties south of 35d 20m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,98deg  0min  0.000sec W,,,,,33deg 56min  0.000sec N,35deg 14min  0.000sec N,33deg 20min  0.000sec N,98deg  0min  0.000sec W,2000000,0,,,,,,,,24,14,P0309
Oklahoma CS83 North zone,Oklahoma North,13531,United States - Oklahoma - counties north of 35d 20m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,98deg  0min  0.000sec W,,,,,36deg 46min  0.000sec N,35deg 34min  0.000sec N,35deg  0min  0.000sec N,98deg  0min  0.000sec W,600000,0,,,,,,,,24,14,P0310
Oklahoma CS83 South zone,Oklahoma South,13532,United States - Oklahoma - counties south of 35d 20m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,98deg  0min  0.000sec W,,,,,35deg 14min  0.000sec N,33deg 56min  0.000sec N,33deg 20min  0.000sec N,98deg  0min  0.000sec W,600000,0,,,,,,,,24,14,P0311
Oregon CS27 North zone,Oregon North,13601,United States - Oregon - counties north of 44d 15m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,44deg 20min  0.000sec N,46deg  0min  0.000sec N,43deg 40min  0.000sec N,120deg 30min  0.000sec W,2000000,0,,,,,,,,22,12,P0312
Oregon CS27 South zone,Oregon South,13602,United States - Oregon - counties south of 44d 15m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,42deg 20min  0.000sec N,44deg  0min  0.000sec N,41deg 40min  0.000sec N,120deg 30min  0.000sec W,2000000,0,,,,,,,,22,12,P0313
Oregon CS83 North zone,Oregon North,13631,United States - Oregon - counties north of 44d 15m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,46deg  0min  0.000sec N,44deg 20min  0.000sec N,43deg 40min  0.000sec N,120deg 30min  0.000sec W,2500000,0,,,,,,,,22,12,P0314
Oregon CS83 South zone,Oregon South,13632,United States - Oregon - counties south of 44d 15m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,120deg 30min  0.000sec W,,,,,44deg  0min  0.000sec N,42deg 20min  0.000sec N,41deg 40min  0.000sec N,120deg 30min  0.000sec W,1500000,0,,,,,,,,22,12,P0315
Pennsylvania CS27 North zone,Pennsylvania North,13701,United States - Pennsylvania - counties north of 40d 50m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,77deg 45min  0.000sec W,,,,,40deg 53min  0.000sec N,41deg 57min  0.000sec N,40deg 10min  0.000sec N,77deg 45min  0.000sec W,2000000,0,,,,,,,,abbr req (28),18,P0316
Pennsylvania CS27 South zone,Pennsylvania South,13702,United States - Pennsylvania - counties south of 40d 50m North.,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,77deg 45min  0.000sec W,,,,,39deg 56min  0.000sec N,40deg 48min  0.000sec N,39deg 20min  0.000sec N,77deg 45min  0.000sec W,2000000,0,,,,,,,,abbr req (28),18,P0317
Pennsylvania CS83 North zone,Pennsylvania North,13731,United States - Pennsylvania - counties north of 40d 50m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,77deg 45min  0.000sec W,,,,,41deg 57min  0.000sec N,40deg 53min  0.000sec N,40deg 10min  0.000sec N,77deg 45min  0.000sec W,600000,0,,,,,,,,abbr req (28),18,P0318
Pennsylvania CS83 South zone,Pennsylvania South,13732,United States - Pennsylvania - counties south of 40d 50m North.,NOAA manual NOS NGS 5,,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Greenwich,77deg 45min  0.000sec W,,,,,40deg 58min  0.000sec N,39deg 56min  0.000sec N,39deg 20min  0.000sec N,77deg 45min  0.000sec W,600000,0,,,,,,,,abbr req (28),18,P0319
Rhode Island CS27,Rhode Island ,13800,United States - Rhode Island,USGS Professional Paper #1395,,02-Jun-95,Transverse Mercator,9003,U.S. Survey Foot,9107,DMS,Greenwich,71deg 30min  0.000sec W,41deg  5min  0.000sec N,0.9999938,500000,0,,,,,,,,,,,,,,17,13,P0320
Rhode Island CS83,Rhode Island ,13830,United States - Rhode Island,NOAA manual NOS NGS 5,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,71deg 30min  0.000sec W,41deg  5min  0.000sec N,0.9999938,100000,0,,,,,,,,,,,,,,17,13,P0321
South Carolina CS27 North zone,South Carolina North,13901,United States - South Carolina,USGS Professional Paper #1395,,02-Jun-95,Lambert Conic Conformal (2SP),9003,U.S. Survey Foot,9107,DMS,Greenwich,81deg  0min  0.000sec W,,,,,33deg 46min  0.000sec N,34deg 58min  0.000sec N,33deg  0min  0.000sec N,81deg  0min  0.000sec W,2000000,0,,,,,,,,abbr req (30),20,P0322
