Projected,Projected,,Area of Use,Revision,Geog.,Map,Geographic,Map Projection,Map Projection,Information,Remarks,PCS,PCS
Coordinate System,Coordinate System,PCS,,Date,C.S.,Projn.,C.S.,Zone,Zone,Source,,Name,Abbr
Name,Abbreviation,Code,,,Code,Code,Name,,Abbreviation,,,Length,Length

WGS 72 / UTM zone 9N,,32209,132deg West to 126deg West; northern hemisphere,02-Jun-95,4322,16009,WGS 72,UTM zone 9N,,,,20,0
WGS 72 / UTM zone 10N,,32210,130deg West to 120deg West; northern hemisphere,02-Jun-95,4322,16010,WGS 72,UTM zone 10N,,,,21,0
WGS 72 / UTM zone 11N,,32211,120deg West to 114deg West; northern hemisphere,02-Jun-95,4322,16011,WGS 72,UTM zone 11N,,,,21,0
WGS 72 / UTM zone 12N,,32212,114deg West to 108deg West; northern hemisphere,02-Jun-95,4322,16012,WGS 72,UTM zone 12N,,,,21,0
WGS 72 / UTM zone 13N,,32213,108deg West to 102deg West; northern hemisphere,02-Jun-95,4322,16013,WGS 72,UTM zone 13N,,,,21,0
WGS 72 / UTM zone 14N,,32214,102deg West to 96deg West; northern hemisphere,02-Jun-95,4322,16014,WGS 72,UTM zone 14N,,,,21,0
WGS 72 / UTM zone 15N,,32215,96deg West to 90deg West; northern hemisphere,02-Jun-95,4322,16015,WGS 72,UTM zone 15N,,,,21,0
WGS 72 / UTM zone 16N,,32216,90deg West to 84deg West; northern hemisphere,02-Jun-95,4322,16016,WGS 72,UTM zone 16N,,,,21,0
WGS 72 / UTM zone 17N,,32217,84deg West to 78deg West; northern hemisphere,02-Jun-95,4322,16017,WGS 72,UTM zone 17N,,,,21,0
WGS 72 / UTM zone 18N,,32218,78deg West to 72deg West; northern hemisphere,02-Jun-95,4322,16018,WGS 72,UTM zone 18N,,,,21,0
WGS 72 / UTM zone 19N,,32219,72deg West to 66deg West; northern hemisphere,02-Jun-95,4322,16019,WGS 72,UTM zone 19N,,,,21,0
WGS 72 / UTM zone 20N,,32220,66deg West to 60deg West; northern hemisphere,02-Jun-95,4322,16020,WGS 72,UTM zone 20N,,,,21,0
WGS 72 / UTM zone 21N,,32221,60deg West to 54deg West; northern hemisphere,02-Jun-95,4322,16021,WGS 72,UTM zone 21N,,,,21,0
WGS 72 / UTM zone 22N,,32222,54deg West to 48deg West; northern hemisphere,02-Jun-95,4322,16022,WGS 72,UTM zone 22N,,,,21,0
WGS 72 / UTM zone 23N,,32223,48deg West to 42deg West; northern hemisphere,02-Jun-95,4322,16023,WGS 72,UTM zone 23N,,,,21,0
WGS 72 / UTM zone 24N,,32224,42deg West to 36deg West; northern hemisphere,02-Jun-95,4322,16024,WGS 72,UTM zone 24N,,,,21,0
WGS 72 / UTM zone 25N,,32225,36deg West to 30deg West; northern hemisphere,02-Jun-95,4322,16025,WGS 72,UTM zone 25N,,,,21,0
WGS 72 / UTM zone 26N,,32226,30deg West to 24deg West; northern hemisphere,02-Jun-95,4322,16026,WGS 72,UTM zone 26N,,,,21,0
WGS 72 / UTM zone 27N,,32227,24deg West to 18deg West; northern hemisphere,02-Jun-95,4322,16027,WGS 72,UTM zone 27N,,,,21,0
WGS 72 / UTM zone 28N,,32228,18deg West to 12deg West; northern hemisphere,02-Jun-95,4322,16028,WGS 72,UTM zone 28N,,,,21,0
WGS 72 / UTM zone 29N,,32229,12deg West to 6deg West; northern hemisphere,02-Jun-95,4322,16029,WGS 72,UTM zone 29N,,,,21,0
WGS 72 / UTM zone 30N,,32230,6deg West to 0deg; northern hemisphere,02-Jun-95,4322,16030,WGS 72,UTM zone 30N,,,,21,0
WGS 72 / UTM zone 31N,,32231,0deg to 6deg East; northern hemisphere,02-Jun-95,4322,16031,WGS 72,UTM zone 31N,,,,21,0
WGS 72 / UTM zone 32N,,32232,6deg East to 12deg East; northern hemisphere,02-Jun-95,4322,16032,WGS 72,UTM zone 32N,,,,21,0
WGS 72 / UTM zone 33N,,32233,12deg East to 18deg East; northern hemisphere,02-Jun-95,4322,16033,WGS 72,UTM zone 33N,,,,21,0
WGS 72 / UTM zone 34N,,32234,18deg East to 24deg East; northern hemisphere,02-Jun-95,4322,16034,WGS 72,UTM zone 34N,,,,21,0
WGS 72 / UTM zone 35N,,32235,24deg East to 30deg East; northern hemisphere,02-Jun-95,4322,16035,WGS 72,UTM zone 35N,,,,21,0
WGS 72 / UTM zone 36N,,32236,30deg East to 36deg East; northern hemisphere,02-Jun-95,4322,16036,WGS 72,UTM zone 36N,,,,21,0
WGS 72 / UTM zone 37N,,32237,36deg East to 42deg East; northern hemisphere,02-Jun-95,4322,16037,WGS 72,UTM zone 37N,,,,21,0
WGS 72 / UTM zone 38N,,32238,42deg East to 48deg East; northern hemisphere,02-Jun-95,4322,16038,WGS 72,UTM zone 38N,,,,21,0
WGS 72 / UTM zone 39N,,32239,48deg East to 54deg East; northern hemisphere,02-Jun-95,4322,16039,WGS 72,UTM zone 39N,,,,21,0
WGS 72 / UTM zone 40N,,32240,54deg East to 60deg East; northern hemisphere,02-Jun-95,4322,16040,WGS 72,UTM zone 40N,,,,21,0
WGS 72 / UTM zone 41N,,32241,60deg East to 66deg East; northern hemisphere,02-Jun-95,4322,16041,WGS 72,UTM zone 41N,,,,21,0
WGS 72 / UTM zone 42N,,32242,66deg East to 72deg East; northern hemisphere,02-Jun-95,4322,16042,WGS 72,UTM zone 42N,,,,21,0
WGS 72 / UTM zone 43N,,32243,72deg East to 78deg East; northern hemisphere,02-Jun-95,4322,16043,WGS 72,UTM zone 43N,,,,21,0
WGS 72 / UTM zone 44N,,32244,78deg East to 84deg East; northern hemisphere,02-Jun-95,4322,16044,WGS 72,UTM zone 44N,,,,21,0
WGS 72 / UTM zone 45N,,32245,84deg East to 90deg East; northern hemisphere,02-Jun-95,4322,16045,WGS 72,UTM zone 45N,,,,21,0
WGS 72 / UTM zone 46N,,32246,90deg East to 96deg East; northern hemisphere,02-Jun-95,4322,16046,WGS 72,UTM zone 46N,,,,21,0
WGS 72 / UTM zone 47N,,32247,96deg East to 102eg East; northern hemisphere,02-Jun-95,4322,16047,WGS 72,UTM zone 47N,,,,21,0
WGS 72 / UTM zone 48N,,32248,102deg East to 108deg East; northern hemisphere,02-Jun-95,4322,16048,WGS 72,UTM zone 48N,,,,21,0
WGS 72 / UTM zone 49N,,32249,108deg East to 114deg East; northern hemisphere,02-Jun-95,4322,16049,WGS 72,UTM zone 49N,,,,21,0
WGS 72 / UTM zone 50N,,32250,114deg East to 120deg East; northern hemisphere,02-Jun-95,4322,16050,WGS 72,UTM zone 50N,,,,21,0
WGS 72 / UTM zone 51N,,32251,120deg East to 126deg East; northern hemisphere,02-Jun-95,4322,16051,WGS 72,UTM zone 51N,,,,21,0
WGS 72 / UTM zone 52N,,32252,126deg East to 132deg East; northern hemisphere,02-Jun-95,4322,16052,WGS 72,UTM zone 52N,,,,21,0
WGS 72 / UTM zone 53N,,32253,132deg East to 138deg East; northern hemisphere,02-Jun-95,4322,16053,WGS 72,UTM zone 53N,,,,21,0
WGS 72 / UTM zone 54N,,32254,138deg East to 144deg East; northern hemisphere,02-Jun-95,4322,16054,WGS 72,UTM zone 54N,,,,21,0
WGS 72 / UTM zone 55N,,32255,144deg East to 150deg East; northern hemisphere,02-Jun-95,4322,16055,WGS 72,UTM zone 55N,,,,21,0
WGS 72 / UTM zone 56N,,32256,150deg East to 156deg East; northern hemisphere,02-Jun-95,4322,16056,WGS 72,UTM zone 56N,,,,21,0
WGS 72 / UTM zone 57N,,32257,156deg East to 162deg East; northern hemisphere,02-Jun-95,4322,16057,WGS 72,UTM zone 57N,,,,21,0
WGS 72 / UTM zone 58N,,32258,162deg East to 168deg East; northern hemisphere,02-Jun-95,4322,16058,WGS 72,UTM zone 58N,,,,21,0
WGS 72 / UTM zone 59N,,32259,168deg East to 174deg East; northern hemisphere,02-Jun-95,4322,16059,WGS 72,UTM zone 59N,,,,21,0
WGS 72 / UTM zone 60N,,32260,174deg East to 180deg; northern hemisphere,02-Jun-95,4322,16060,WGS 72,UTM zone 60N,,,,21,0
WGS 72 / UTM zone 1S,,32301,180deg to 174deg West; southern hemisphere,02-Jun-95,4322,16101,WGS 72,UTM zone 1S,,,,20,0
WGS 72 / UTM zone 2S,,32302,174deg West to 168deg West; southern hemisphere,02-Jun-95,4322,16102,WGS 72,UTM zone 2S,,,,20,0
WGS 72 / UTM zone 3S,,32303,168deg West to 162deg West; southern hemisphere,02-Jun-95,4322,16103,WGS 72,UTM zone 3S,,,,20,0
WGS 72 / UTM zone 4S,,32304,162deg West to 156deg West; southern hemisphere,02-Jun-95,4322,16104,WGS 72,UTM zone 4S,,,,20,0
WGS 72 / UTM zone 5S,,32305,156deg West to 150deg West; southern hemisphere,02-Jun-95,4322,16105,WGS 72,UTM zone 5S,,,,20,0
WGS 72 / UTM zone 6S,,32306,150deg West to 144deg West; southern hemisphere,02-Jun-95,4322,16106,WGS 72,UTM zone 6S,,,,20,0
WGS 72 / UTM zone 7S,,32307,144deg West to 138deg West; southern hemisphere,02-Jun-95,4322,16107,WGS 72,UTM zone 7S,,,,20,0
WGS 72 / UTM zone 8S,,32308,138deg West to 132deg West; southern hemisphere,02-Jun-95,4322,16108,WGS 72,UTM zone 8S,,,,20,0
WGS 72 / UTM zone 9S,,32309,132deg West to 126deg West; southern hemisphere,02-Jun-95,4322,16109,WGS 72,UTM zone 9S,,,,20,0
WGS 72 / UTM zone 10S,,32310,130deg West to 120deg West; southern hemisphere,02-Jun-95,4322,16110,WGS 72,UTM zone 10S,,,,21,0
WGS 72 / UTM zone 11S,,32311,120deg West to 114deg West; southern hemisphere,02-Jun-95,4322,16111,WGS 72,UTM zone 11S,,,,21,0
WGS 72 / UTM zone 12S,,32312,114deg West to 108deg West; southern hemisphere,02-Jun-95,4322,16112,WGS 72,UTM zone 12S,,,,21,0
WGS 72 / UTM zone 13S,,32313,108deg West to 102deg West; southern hemisphere,02-Jun-95,4322,16113,WGS 72,UTM zone 13S,,,,21,0
WGS 72 / UTM zone 14S,,32314,102deg West to 96deg West; southern hemisphere,02-Jun-95,4322,16114,WGS 72,UTM zone 14S,,,,21,0
WGS 72 / UTM zone 15S,,32315,96deg West to 90deg West; southern hemisphere,02-Jun-95,4322,16115,WGS 72,UTM zone 15S,,,,21,0
WGS 72 / UTM zone 16S,,32316,90deg West to 84deg West; southern hemisphere,02-Jun-95,4322,16116,WGS 72,UTM zone 16S,,,,21,0
WGS 72 / UTM zone 17S,,32317,84deg West to 78deg West; southern hemisphere,02-Jun-95,4322,16117,WGS 72,UTM zone 17S,,,,21,0
WGS 72 / UTM zone 18S,,32318,78deg West to 72deg West; southern hemisphere,02-Jun-95,4322,16118,WGS 72,UTM zone 18S,,,,21,0
WGS 72 / UTM zone 19S,,32319,72deg West to 66deg West; southern hemisphere,02-Jun-95,4322,16119,WGS 72,UTM zone 19S,,,,21,0
WGS 72 / UTM zone 20S,,32320,66deg West to 60deg West; southern hemisphere,02-Jun-95,4322,16120,WGS 72,UTM zone 20S,,,,21,0
WGS 72 / UTM zone 21S,,32321,60deg West to 54deg West; southern hemisphere,02-Jun-95,4322,16121,WGS 72,UTM zone 21S,,,,21,0
WGS 72 / UTM zone 22S,,32322,54deg West to 48deg West; southern hemisphere,02-Jun-95,4322,16122,WGS 72,UTM zone 22S,,,,21,0
WGS 72 / UTM zone 23S,,32323,48deg West to 42deg West; southern hemisphere,02-Jun-95,4322,16123,WGS 72,UTM zone 23S,,,,21,0
WGS 72 / UTM zone 24S,,32324,42deg West to 36deg West; southern hemisphere,02-Jun-95,4322,16124,WGS 72,UTM zone 24S,,,,21,0
WGS 72 / UTM zone 25S,,32325,36deg West to 30deg West; southern hemisphere,02-Jun-95,4322,16125,WGS 72,UTM zone 25S,,,,21,0
WGS 72 / UTM zone 26S,,32326,30deg West to 24deg West; southern hemisphere,02-Jun-95,4322,16126,WGS 72,UTM zone 26S,,,,21,0
WGS 72 / UTM zone 27S,,32327,24deg West to 18deg West; southern hemisphere,02-Jun-95,4322,16127,WGS 72,UTM zone 27S,,,,21,0
WGS 72 / UTM zone 28S,,32328,18deg West to 12deg West; southern hemisphere,02-Jun-95,4322,16128,WGS 72,UTM zone 28S,,,,21,0
WGS 72 / UTM zone 29S,,32329,12deg West to 6deg West; southern hemisphere,02-Jun-95,4322,16129,WGS 72,UTM zone 29S,,,,21,0
WGS 72 / UTM zone 30S,,32330,6deg West to 0deg; southern hemisphere,02-Jun-95,4322,16130,WGS 72,UTM zone 30S,,,,21,0
WGS 72 / UTM zone 31S,,32331,0deg to 6deg East; southern hemisphere,02-Jun-95,4322,16131,WGS 72,UTM zone 31S,,,,21,0
WGS 72 / UTM zone 32S,,32332,6deg East to 12deg East; southern hemisphere,02-Jun-95,4322,16132,WGS 72,UTM zone 32S,,,,21,0
WGS 72 / UTM zone 33S,,32333,12deg East to 18deg East; southern hemisphere,02-Jun-95,4322,16133,WGS 72,UTM zone 33S,,,,21,0
WGS 72 / UTM zone 34S,,32334,18deg East to 24deg East; southern hemisphere,02-Jun-95,4322,16134,WGS 72,UTM zone 34S,,,,21,0
WGS 72 / UTM zone 35S,,32335,24deg East to 30deg East; southern hemisphere,02-Jun-95,4322,16135,WGS 72,UTM zone 35S,,,,21,0
WGS 72 / UTM zone 36S,,32336,30deg East to 36deg East; southern hemisphere,02-Jun-95,4322,16136,WGS 72,UTM zone 36S,,,,21,0
WGS 72 / UTM zone 37S,,32337,36deg East to 42deg East; southern hemisphere,02-Jun-95,4322,16137,WGS 72,UTM zone 37S,,,,21,0
WGS 72 / UTM zone 38S,,32338,42deg East to 48deg East; southern hemisphere,02-Jun-95,4322,16138,WGS 72,UTM zone 38S,,,,21,0
WGS 72 / UTM zone 39S,,32339,48deg East to 54deg East; southern hemisphere,02-Jun-95,4322,16139,WGS 72,UTM zone 39S,,,,21,0
WGS 72 / UTM zone 40S,,32340,54deg East to 60deg East; southern hemisphere,02-Jun-95,4322,16140,WGS 72,UTM zone 40S,,,,21,0
WGS 72 / UTM zone 41S,,32341,60deg East to 66deg East; southern hemisphere,02-Jun-95,4322,16141,WGS 72,UTM zone 41S,,,,21,0
WGS 72 / UTM zone 42S,,32342,66deg East to 72deg East; southern hemisphere,02-Jun-95,4322,16142,WGS 72,UTM zone 42S,,,,21,0
WGS 72 / UTM zone 43S,,32343,72deg East to 78deg East; southern hemisphere,02-Jun-95,4322,16143,WGS 72,UTM zone 43S,,,,21,0
WGS 72 / UTM zone 44S,,32344,78deg East to 84deg East; southern hemisphere,02-Jun-95,4322,16144,WGS 72,UTM zone 44S,,,,21,0
WGS 72 / UTM zone 45S,,32345,84deg East to 90deg East; southern hemisphere,02-Jun-95,4322,16145,WGS 72,UTM zone 45S,,,,21,0
WGS 72 / UTM zone 46S,,32346,90deg East to 96deg East; southern hemisphere,02-Jun-95,4322,16146,WGS 72,UTM zone 46S,,,,21,0
WGS 72 / UTM zone 47S,,32347,96deg East to 102eg East; southern hemisphere,02-Jun-95,4322,16147,WGS 72,UTM zone 47S,,,,21,0
WGS 72 / UTM zone 48S,,32348,102deg East to 108deg East; southern hemisphere,02-Jun-95,4322,16148,WGS 72,UTM zone 48S,,,,21,0
WGS 72 / UTM zone 49S,,32349,108deg East to 114deg East; southern hemisphere,02-Jun-95,4322,16149,WGS 72,UTM zone 49S,,,,21,0
WGS 72 / UTM zone 50S,,32350,114deg East to 120deg East; southern hemisphere,02-Jun-95,4322,16150,WGS 72,UTM zone 50S,,,,21,0
WGS 72 / UTM zone 51S,,32351,120deg East to 126deg East; southern hemisphere,02-Jun-95,4322,16151,WGS 72,UTM zone 51S,,,,21,0
WGS 72 / UTM zone 52S,,32352,126deg East to 132deg East; southern hemisphere,02-Jun-95,4322,16152,WGS 72,UTM zone 52S,,,,21,0
WGS 72 / UTM zone 53S,,32353,132deg East to 138deg East; southern hemisphere,02-Jun-95,4322,16153,WGS 72,UTM zone 53S,,,,21,0
WGS 72 / UTM zone 54S,,32354,138deg East to 144deg East; southern hemisphere,02-Jun-95,4322,16154,WGS 72,UTM zone 54S,,,,21,0
WGS 72 / UTM zone 55S,,32355,144deg East to 150deg East; southern hemisphere,02-Jun-95,4322,16155,WGS 72,UTM zone 55S,,,,21,0
WGS 72 / UTM zone 56S,,32356,150deg East to 156deg East; southern hemisphere,02-Jun-95,4322,16156,WGS 72,UTM zone 56S,,,,21,0
WGS 72 / UTM zone 57S,,32357,156deg East to 162deg East; southern hemisphere,02-Jun-95,4322,16157,WGS 72,UTM zone 57S,,,,21,0
WGS 72 / UTM zone 58S,,32358,162deg East to 168deg East; southern hemisphere,02-Jun-95,4322,16158,WGS 72,UTM zone 58S,,,,21,0
WGS 72 / UTM zone 59S,,32359,168deg East to 174deg East; southern hemisphere,02-Jun-95,4322,16159,WGS 72,UTM zone 59S,,,,21,0
WGS 72 / UTM zone 60S,,32360,174deg East to 180deg; southern hemisphere,02-Jun-95,4322,16160,WGS 72,UTM zone 60S,,,,21,0
WGS 72BE / UTM zone 1N,,32401,180deg to 174deg West; northern hemisphere,02-Jun-95,4324,16001,WGS 72BE,UTM zone 1N,,,,22,0
WGS 72BE / UTM zone 2N,,32402,174deg West to 168deg West; northern hemisphere,02-Jun-95,4324,16002,WGS 72BE,UTM zone 2N,,,,22,0
WGS 72BE / UTM zone 3N,,32403,168deg West to 162deg West; northern hemisphere,02-Jun-95,4324,16003,WGS 72BE,UTM zone 3N,,,,22,0
WGS 72BE / UTM zone 4N,,32404,162deg West to 156deg West; northern hemisphere,02-Jun-95,4324,16004,WGS 72BE,UTM zone 4N,,,,22,0
WGS 72BE / UTM zone 5N,,32405,156deg West to 150deg West; northern hemisphere,02-Jun-95,4324,16005,WGS 72BE,UTM zone 5N,,,,22,0
WGS 72BE / UTM zone 6N,,32406,150deg West to 144deg West; northern hemisphere,02-Jun-95,4324,16006,WGS 72BE,UTM zone 6N,,,,22,0
WGS 72BE / UTM zone 7N,,32407,144deg West to 138deg West; northern hemisphere,02-Jun-95,4324,16007,WGS 72BE,UTM zone 7N,,,,22,0
WGS 72BE / UTM zone 8N,,32408,138deg West to 132deg West; northern hemisphere,02-Jun-95,4324,16008,WGS 72BE,UTM zone 8N,,,,22,0
WGS 72BE / UTM zone 9N,,32409,132deg West to 126deg West; northern hemisphere,02-Jun-95,4324,16009,WGS 72BE,UTM zone 9N,,,,22,0
WGS 72BE / UTM zone 10N,,32410,130deg West to 120deg West; northern hemisphere,02-Jun-95,4324,16010,WGS 72BE,UTM zone 10N,,,,23,0
WGS 72BE / UTM zone 11N,,32411,120deg West to 114deg West; northern hemisphere,02-Jun-95,4324,16011,WGS 72BE,UTM zone 11N,,,,23,0
WGS 72BE / UTM zone 12N,,32412,114deg West to 108deg West; northern hemisphere,02-Jun-95,4324,16012,WGS 72BE,UTM zone 12N,,,,23,0
WGS 72BE / UTM zone 13N,,32413,108deg West to 102deg West; northern hemisphere,02-Jun-95,4324,16013,WGS 72BE,UTM zone 13N,,,,23,0
WGS 72BE / UTM zone 14N,,32414,102deg West to 96deg West; northern hemisphere,02-Jun-95,4324,16014,WGS 72BE,UTM zone 14N,,,,23,0
WGS 72BE / UTM zone 15N,,32415,96deg West to 90deg West; northern hemisphere,02-Jun-95,4324,16015,WGS 72BE,UTM zone 15N,,,,23,0
WGS 72BE / UTM zone 16N,,32416,90deg West to 84deg West; northern hemisphere,02-Jun-95,4324,16016,WGS 72BE,UTM zone 16N,,,,23,0
WGS 72BE / UTM zone 17N,,32417,84deg West to 78deg West; northern hemisphere,02-Jun-95,4324,16017,WGS 72BE,UTM zone 17N,,,,23,0
WGS 72BE / UTM zone 18N,,32418,78deg West to 72deg West; northern hemisphere,02-Jun-95,4324,16018,WGS 72BE,UTM zone 18N,,,,23,0
WGS 72BE / UTM zone 19N,,32419,72deg West to 66deg West; northern hemisphere,02-Jun-95,4324,16019,WGS 72BE,UTM zone 19N,,,,23,0
WGS 72BE / UTM zone 20N,,32420,66deg West to 60deg West; northern hemisphere,02-Jun-95,4324,16020,WGS 72BE,UTM zone 20N,,,,23,0
WGS 72BE / UTM zone 21N,,32421,60deg West to 54deg West; northern hemisphere,02-Jun-95,4324,16021,WGS 72BE,UTM zone 21N,,,,23,0
WGS 72BE / UTM zone 22N,,32422,54deg West to 48deg West; northern hemisphere,02-Jun-95,4324,16022,WGS 72BE,UTM zone 22N,,,,23,0
WGS 72BE / UTM zone 23N,,32423,48deg West to 42deg West; northern hemisphere,02-Jun-95,4324,16023,WGS 72BE,UTM zone 23N,,,,23,0
WGS 72BE / UTM zone 24N,,32424,42deg West to 36deg West; northern hemisphere,02-Jun-95,4324,16024,WGS 72BE,UTM zone 24N,,,,23,0
WGS 72BE / UTM zone 25N,,32425,36deg West to 30deg West; northern hemisphere,02-Jun-95,4324,16025,WGS 72BE,UTM zone 25N,,,,23,0
WGS 72BE / UTM zone 26N,,32426,30deg West to 24deg West; northern hemisphere,02-Jun-95,4324,16026,WGS 72BE,UTM zone 26N,,,,23,0
WGS 72BE / UTM zone 27N,,32427,24deg West to 18deg West; northern hemisphere,02-Jun-95,4324,16027,WGS 72BE,UTM zone 27N,,,,23,0
WGS 72BE / UTM zone 28N,,32428,18deg West to 12deg West; northern hemisphere,02-Jun-95,4324,16028,WGS 72BE,UTM zone 28N,,,,23,0
WGS 72BE / UTM zone 29N,,32429,12deg West to 6deg West; northern hemisphere,02-Jun-95,4324,16029,WGS 72BE,UTM zone 29N,,,,23,0
WGS 72BE / UTM zone 30N,,32430,6deg West to 0deg; northern hemisphere,02-Jun-95,4324,16030,WGS 72BE,UTM zone 30N,,,,23,0
WGS 72BE / UTM zone 31N,,32431,0deg to 6deg East; northern hemisphere,02-Jun-95,4324,16031,WGS 72BE,UTM zone 31N,,,,23,0
WGS 72BE / UTM zone 32N,,32432,6deg East to 12deg East; northern hemisphere,02-Jun-95,4324,16032,WGS 72BE,UTM zone 32N,,,,23,0
WGS 72BE / UTM zone 33N,,32433,12deg East to 18deg East; northern hemisphere,02-Jun-95,4324,16033,WGS 72BE,UTM zone 33N,,,,23,0
WGS 72BE / UTM zone 34N,,32434,18deg East to 24deg East; northern hemisphere,02-Jun-95,4324,16034,WGS 72BE,UTM zone 34N,,,,23,0
WGS 72BE / UTM zone 35N,,32435,24deg East to 30deg East; northern hemisphere,02-Jun-95,4324,16035,WGS 72BE,UTM zone 35N,,,,23,0
WGS 72BE / UTM zone 36N,,32436,30deg East to 36deg East; northern hemisphere,02-Jun-95,4324,16036,WGS 72BE,UTM zone 36N,,,,23,0
WGS 72BE / UTM zone 37N,,32437,36deg East to 42deg East; northern hemisphere,02-Jun-95,4324,16037,WGS 72BE,UTM zone 37N,,,,23,0
WGS 72BE / UTM zone 38N,,32438,42deg East to 48deg East; northern hemisphere,02-Jun-95,4324,16038,WGS 72BE,UTM zone 38N,,,,23,0
WGS 72BE / UTM zone 39N,,32439,48deg East to 54deg East; northern hemisphere,02-Jun-95,4324,16039,WGS 72BE,UTM zone 39N,,,,23,0
WGS 72BE / UTM zone 40N,,32440,54deg East to 60deg East; northern hemisphere,02-Jun-95,4324,16040,WGS 72BE,UTM zone 40N,,,,23,0
WGS 72BE / UTM zone 41N,,32441,60deg East to 66deg East; northern hemisphere,02-Jun-95,4324,16041,WGS 72BE,UTM zone 41N,,,,23,0
WGS 72BE / UTM zone 42N,,32442,66deg East to 72deg East; northern hemisphere,02-Jun-95,4324,16042,WGS 72BE,UTM zone 42N,,,,23,0
WGS 72BE / UTM zone 43N,,32443,72deg East to 78deg East; northern hemisphere,02-Jun-95,4324,16043,WGS 72BE,UTM zone 43N,,,,23,0
WGS 72BE / UTM zone 44N,,32444,78deg East to 84deg East; northern hemisphere,02-Jun-95,4324,16044,WGS 72BE,UTM zone 44N,,,,23,0
WGS 72BE / UTM zone 45N,,32445,84deg East to 90deg East; northern hemisphere,02-Jun-95,4324,16045,WGS 72BE,UTM zone 45N,,,,23,0
WGS 72BE / UTM zone 46N,,32446,90deg East to 96deg East; northern hemisphere,02-Jun-95,4324,16046,WGS 72BE,UTM zone 46N,,,,23,0
WGS 72BE / UTM zone 47N,,32447,96deg East to 102eg East; northern hemisphere,02-Jun-95,4324,16047,WGS 72BE,UTM zone 47N,,,,23,0
WGS 72BE / UTM zone 48N,,32448,102deg East to 108deg East; northern hemisphere,02-Jun-95,4324,16048,WGS 72BE,UTM zone 48N,,,,23,0
WGS 72BE / UTM zone 49N,,32449,108deg East to 114deg East; northern hemisphere,02-Jun-95,4324,16049,WGS 72BE,UTM zone 49N,,,,23,0
WGS 72BE / UTM zone 50N,,32450,114deg East to 120deg East; northern hemisphere,02-Jun-95,4324,16050,WGS 72BE,UTM zone 50N,,,,23,0
WGS 72BE / UTM zone 51N,,32451,120deg East to 126deg East; northern hemisphere,02-Jun-95,4324,16051,WGS 72BE,UTM zone 51N,,,,23,0
WGS 72BE / UTM zone 52N,,32452,126deg East to 132deg East; northern hemisphere,02-Jun-95,4324,16052,WGS 72BE,UTM zone 52N,,,,23,0
WGS 72BE / UTM zone 53N,,32453,132deg East to 138deg East; northern hemisphere,02-Jun-95,4324,16053,WGS 72BE,UTM zone 53N,,,,23,0
WGS 72BE / UTM zone 54N,,32454,138deg East to 144deg East; northern hemisphere,02-Jun-95,4324,16054,WGS 72BE,UTM zone 54N,,,,23,0
WGS 72BE / UTM zone 55N,,32455,144deg East to 150deg East; northern hemisphere,02-Jun-95,4324,16055,WGS 72BE,UTM zone 55N,,,,23,0
WGS 72BE / UTM zone 56N,,32456,150deg East to 156deg East; northern hemisphere,02-Jun-95,4324,16056,WGS 72BE,UTM zone 56N,,,,23,0
WGS 72BE / UTM zone 57N,,32457,156deg East to 162deg East; northern hemisphere,02-Jun-95,4324,16057,WGS 72BE,UTM zone 57N,,,,23,0
WGS 72BE / UTM zone 58N,,32458,162deg East to 168deg East; northern hemisphere,02-Jun-95,4324,16058,WGS 72BE,UTM zone 58N,,,,23,0
WGS 72BE / UTM zone 59N,,32459,168deg East to 174deg East; northern hemisphere,02-Jun-95,4324,16059,WGS 72BE,UTM zone 59N,,,,23,0
WGS 72BE / UTM zone 60N,,32460,174deg East to 180deg; northern hemisphere,02-Jun-95,4324,16060,WGS 72BE,UTM zone 60N,,,,23,0
WGS 72BE / UTM zone 1S,,32501,180deg to 174deg West; southern hemisphere,02-Jun-95,4324,16101,WGS 72BE,UTM zone 1S,,,,22,0
WGS 72BE / UTM zone 2S,,32502,174deg West to 168deg West; southern hemisphere,02-Jun-95,4324,16102,WGS 72BE,UTM zone 2S,,,,22,0
WGS 72BE / UTM zone 3S,,32503,168deg West to 162deg West; southern hemisphere,02-Jun-95,4324,16103,WGS 72BE,UTM zone 3S,,,,22,0
WGS 72BE / UTM zone 4S,,32504,162deg West to 156deg West; southern hemisphere,02-Jun-95,4324,16104,WGS 72BE,UTM zone 4S,,,,22,0
WGS 72BE / UTM zone 5S,,32505,156deg West to 150deg West; southern hemisphere,02-Jun-95,4324,16105,WGS 72BE,UTM zone 5S,,,,22,0
WGS 72BE / UTM zone 6S,,32506,150deg West to 144deg West; southern hemisphere,02-Jun-95,4324,16106,WGS 72BE,UTM zone 6S,,,,22,0
WGS 72BE / UTM zone 7S,,32507,144deg West to 138deg West; southern hemisphere,02-Jun-95,4324,16107,WGS 72BE,UTM zone 7S,,,,22,0
WGS 72BE / UTM zone 8S,,32508,138deg West to 132deg West; southern hemisphere,02-Jun-95,4324,16108,WGS 72BE,UTM zone 8S,,,,22,0
WGS 72BE / UTM zone 9S,,32509,132deg West to 126deg West; southern hemisphere,02-Jun-95,4324,16109,WGS 72BE,UTM zone 9S,,,,22,0
